titulo,precio,Rating,plataformas,categoria,genero,link,img
Earth & Beyond,64,1,PC,El primer juego plenamente online de los creadores de Command & Conquer. Presenta un universo persistente en donde el jugador deberá exhibir su pericia estratégica contra otros jugadores de todo el mundo dentro de un entorno visualmente muy atractivo.,RPG,/meristation/juegos/earth_and_beyond/,//as01.epimg.net/t.gif
Dreams to Reality,58,8,PC,Sorprendente y original arcade que casi pasó desapercibido en el mercado español.,Acción,/meristation/juegos/dreams_to_reality/,//as01.epimg.net/t.gif
Indiana Jones and The Infernal Machine,13,10,N64,El hombre del sombrero vuelve de la mano de Factor 5. Conversión directa del juego aparecido anteriormente para PC la úñtima aventura del Doctor Jones viene repleta de acción y aventura a partes iguales.,"Acción
Aventura",/meristation/juegos/indiana_jones_and_the_infernal_machine/,//as01.epimg.net/t.gif
24 Horas de LeMans,64,9,"DC
PS2",Infogrames ataca al genero de conducción de Dreamcast con un impresionante titulo de conducción.,Conducción,/meristation/juegos/24_horas_de_lemans/,//as01.epimg.net/t.gif
La Liga de Fútbol 98-99,25,0,PC,"Electronic Arts, dentro de su archiconocida línea EA SPORTS nos presenta ""LA LIGA DE FUTBOL 98-99"". Este juego nos ofrece la posibilidad de encarnar el papel de manager de cualquier equipo de primera o segunda división españoles y asumir todas las responsabilidades derivadas al efecto.",Estrategia,/meristation/juegos/la_liga_de_futbol_9899/,//as01.epimg.net/img/meristation/placeholder-cover.png
La Leyenda del Profeta y el Asesino,34,10,PC,"Los autores de Fausto y The Ring, nos presentan esta nueva aventura, que usa el engine de Quicktime VR.",Aventura gráfica,/meristation/juegos/la_leyenda_del_profeta_y_el_asesino/,//as01.epimg.net/t.gif
La Prisión,29,10,PC,"La Prisión es un original RPG Online, en el que los jugadores se encuentran en una cárcel, y pueden realizar las más variadas acciones, propias de la vida carcelaria, incluidas las fugas.",RPG,/meristation/juegos/la_prision/,//as01.epimg.net/t.gif
Flight Simulator 2002,71,0,PC,"La secuela de este legendario simulador de vuelo comercial llega cargada de novedades, pero destaca especialmente por su impresionante aspecto gráfico que convierte la experiencia de vuelo en una delicia visual, algo que se une a las ya múltiples cualidades que definen esta saga.",Simulación,/meristation/juegos/flight_simulator_2002/,//as01.epimg.net/t.gif
La Jungla de Cristal 2: Viva Las Vegas,11,9,PC,"Juego inspirado en el personaje John Mclane, que no está basado en ninguna de las películas de Bruce Willis e incluye 3 tipos de juego distintos: Disparo, Arcade y Conducción","Acción
arcade",/meristation/juegos/la_jungla_de_cristal_2_viva_las_vegas/,//as01.epimg.net/t.gif
Star Trek TNG: Klingon Honor Guard,6,1,PC,"Klingon Honor Guard es un juego de acción basado en los personajes de Star Trek. La Nueva Generación, y que se compone de 20 misiones en las que como Guardia de Honor se nos envía a conseguir diferentes objetivos: desde matar a unos traidores pasando por robar naves o interrogar testigos.",Acción,/meristation/juegos/star_trek_tng_klingon_honor_guard/,//as01.epimg.net/t.gif
King Quest VIII : La Máscara de la Eternidad,94,5,PC,King Quest 8 es la primera versión en 3D de la saga aventurera de Roberta Williams. El juego combina la exploración y los puzzles tradicionales de las aventuras con elementos de rol y de acción.,Aventura gráfica,/meristation/juegos/king_quest_viii_la_mascara_de_la_eternidad/,//as01.epimg.net/t.gif
Kao The Kangaroo,66,1,PC,"Kao es un juego de plataformas en 3D al estilo de Mario 64, en el manejamos un canguro, que igual salta que va en Snowboard.",Plataformas,/meristation/juegos/kao_the_kangaroo/,//as01.epimg.net/t.gif
Joint Strike Fighter,40,1,PC,Joint Strike Fighter es un simulador que se basa en un proyecto real del pentágono para sustituir cazas actuales como plazo máximo en el 2010. Dos aviones son los prototipos que podemos volar: el x32 de Boeing y el x35 de Lockheed.,Simulación,/meristation/juegos/joint_strike_fighter/,//as01.epimg.net/t.gif
Jazz Jackrabbit 2: Chrismas Chronicles,87,2,PC,"Continuación de Jazz Jackrabbit, un juego de plataformas parecido a Sonic, y que en esta segunda parte permite jugar a través de Internet.",Plataformas,/meristation/juegos/jazz_jackrabbit_2_chrismas_chronicles/,//as01.epimg.net/t.gif
Kengo: Master of Bushido,2,5,PS2,"El código samurai vuelve a inspirar otro juego para consola tras los fructíferos Bushido Blade de Square, pero en esta ocasión, Light Weight, sus creadores han decidido independizarse e iniciar el asalto a PS2.",Acción,/meristation/juegos/kengo_master_of_bushido/,//as01.epimg.net/t.gif
Jane's USAF,84,7,PC,"Completo simulador de vuelo en el que podremos pilotar los aviones: Fairchild A-10 Thunderbolt II, Republic F-105 Thunderchief, Lockheed F-117A Nighhawk, McDonell Douglas F-15C Eagle, McDonell Douglas F-15E Strike Eagle, General Dinamics F-16 Fighting Falcon, Boeing F-22 Raptor,McDonell Douglas F-4 Phantom II y Mikoyan Mig-29 Fulcrum",Simulación,/meristation/juegos/janes_usaf/,//as01.epimg.net/t.gif
Jack Nicklaus 5,63,6,PC,"Quinta entrega del afamado simulador de golf, con los mejores gráficos hasta la fecha.",Deportes,/meristation/juegos/jack_nicklaus_5/,//as01.epimg.net/t.gif
Fallout Tactics,53,9,PC,Fallout Tactics es un juego de combate táctico por pelotones ambientado en el universo de Fallout. Como siempre en la saga de juegos Fallout sus creadores sitúan al usuario en un hipotético planeta Tierra postnuclear donde deberán enfrentarse a todo tipo de enemigos.,Estrategia,/meristation/juegos/fallout_tactics/,//as01.epimg.net/t.gif
I-War Upgrade,30,1,PC,"Actualización para 3DFX del genial I-War, con nuevas conversaciones y secuencias.",Simulación,/meristation/juegos/iwar_upgrade/,//as01.epimg.net/t.gif
Interstate '76: Nitro Riders,11,3,PC,"Expansión de Interstate '76 con mejores gráficos, sonido y más misiones y coches.",Conducción,/meristation/juegos/interstate_76_nitro_riders/,//as01.epimg.net/t.gif
1NSANE,46,4,PC,"Juegos de coches hay muchos y todos consisten más o menos en lo mismo: correr a toda velocidad para llegar de un sitio a otro o para dar vueltas a un circuito más rápido que tus contrincantes. Incluso los juegos con todo terrenos van de eso, pero con una pista de tierra en vez de asfalto. Pero esto ha cambiado, gracias a 1nsane.",Conducción,/meristation/juegos/1nsane/,//as01.epimg.net/t.gif
Industry Giant,22,1,PC,"Este juego de la casa Interactive Magic, versión castellana del éxito alemán Der Industrie Gigant, nos permite situarnos en la piel de un magnate de la industria que tiene que tratar de crear el mayor imperio económico posible.",Estrategia,/meristation/juegos/industry_giant/,//as01.epimg.net/t.gif
Indiana Jones y La Máquina Infernal,27,0,PC,"Primera aventura tridimensional del heroe por excelencia, con un desarrollo y aspecto muy similar a Tomb Raider.","Acción
Aventura",/meristation/juegos/indiana_jones_y_la_maquina_infernal/,//as01.epimg.net/t.gif
Imperium Galactica 2,7,1,PC,"De la mano de una empresa húngara, nos llega esta segunda parte de Imperium Galáctica, un juego de estrategia espacial, que intenta mejorar aquel primer juego con el cual se iniciaron en esto de los videojuegos.",Estrategia,/meristation/juegos/imperium_galactica_2/,//as01.epimg.net/t.gif
Hidden & Dangerous,27,1,PC,"Hidden & Dangerous es un juego de estrategia militar que se basa en las ideas de Commandos, pero trasladadas a las 3D.","Acción
Estrategia",/meristation/juegos/hidden_and_dangerous/,//as01.epimg.net/t.gif
Hundir la Flota,90,4,PC,"Versión para PC del clásico juego de los ""barquitos"", Hundir la Flota.",Estrategia,/meristation/juegos/hundir_la_flota/,//as01.epimg.net/t.gif
Hopkins FBI,83,4,PC,"Hopkins FBI es una sangrienta aventura gráfica en la que investigaremos el rastro de un famoso asesino en serie, que trae de cabeza al FBI.",Aventura gráfica,/meristation/juegos/hopkins_fbi/,//as01.epimg.net/t.gif
EVE: The Second Genesis,79,9,PC,"Un muy prometedor juego online al más puro Elite, en donde el jugador puede campar a sus anchas por todo un universo virtual ganándose la vida como guste e interactuando con jugadores de todo el mundo. Su apartado gráfico se puede calificar de sobresaliente y las posibilidades que ofrece para vivir en su universo lo hacen un título muy interesante.","RPG
multijugador_masivo_online",/meristation/juegos/eve_the_second_genesis/,//as01.epimg.net/t.gif
The House Of The Dead,28,9,PC,"Versión para PC del arcade de pistola de Sega, House Of The Dead, en el que machacaremos zombies por todas partes.","Acción
arcade",/meristation/juegos/the_house_of_the_dead/,//as01.epimg.net/t.gif
Heroes Chronicles: Masters Of Elements,32,4,PC,"Masters of Elements es un juego de estrategia por turnos, en un entorno 2D. perteneciente a la serie de juegos Might and Magic.",Estrategia,/meristation/juegos/heroes_chronicles_masters_of_elements/,//as01.epimg.net/t.gif
Heroes Chronicles: Clash of The Dragons,77,0,PC,"Con el título Heroes Chronicles Clash of The Dragons nos llega una nueva aventura de la serie ""Heroes of Might and Magic"" que forma parte de otras tres crónicas; a saber: ""Warlods of The Wasteland"", ""Master of The Elements"" y ""Conquest of The UnderWorld"".",Estrategia,/meristation/juegos/heroes_chronicles_clash_of_the_dragons/,//as01.epimg.net/t.gif
Heretic II,66,5,PC,"Heretic 2 retoma la historia de Heretic en el mismo punto que este la dejó. Los otros personajes protagonistas, cuyas líneas históricas fueron cerradas al final de la primera entrega, desaparecen esta vez para ceder el protagonismo al carismático 'elfo'. Una nueva imagen, mucho más acorde con los tiempos, acompaña al heroico guerrero.","Acción
arcade",/meristation/juegos/heretic_ii/,//as01.epimg.net/t.gif
Hellboy: Dogs of the Night,99,9,PC,"Hellboy es un personaje atípico donde los haya: En esencia, es un demonio que ha renegado de su condición para unirse a una agencia de investigación paranormal.","Acción
Aventura",/meristation/juegos/hellboy_dogs_of_the_night/,//as01.epimg.net/t.gif
Heist,89,8,PC,"Planea y ejecuta cada atraco al más mínimo detalle"", ""Tras ser contratado por un misterioso jefe de los bajos fondos, tienes que planear y ejecutar diez atracos de gran envergadura con una precisión clínica.",Aventura gráfica,/meristation/juegos/heist/,//as01.epimg.net/t.gif
Madden NFL 2000,79,7,PC,"Madden 2000 es al fútbol americano lo que el NBA Live 2000, Triple Play, FIFA 2000 y NHL 2000 son al baloncesto, béisbol, fútbol o hockey sobre hielo.",Deportes,/meristation/juegos/madden_nfl_2000/,//as01.epimg.net/meristation/imagenes/2016/03/30/game_cover/1459292400.jpg
Madden NFL '99,55,2,PC,"Madden 99 incorpora nuevos modos de juego como el ""Franchise"", en el que podremos controlar el equipo como manager durante 15 años, o el modo Arcade, donde es más fácil jugar, hay menos reglas y placajes más espectaculares y violentos.",Deportes,/meristation/juegos/madden_nfl_99/,//as01.epimg.net/t.gif
Machines,94,0,PC,"Machines es el primer juego de estrategia real desarrollado integramente en 3D, que nos permite entrar en los edificios y manejar cada una de las unidades de combate personalmente.",Estrategia,/meristation/juegos/machines/,//as01.epimg.net/t.gif
Los Sims: House Party,24,9,PC,"Los Sims: House Party está diseñado para fomentar la vida social de tus Sims mediante las juergas que montes en tu casa. También incluye 100 nuevos objetos, más skins, más baldosas y más papeles de pared para decorar tu casa.",Simulación,/meristation/juegos/los_sims_house_party/,//as01.epimg.net/t.gif
Flanker 2.0,44,2,PC,"Finalmente, tras un largo proceso de desarrollo e innumerables, ha llegado a nuestras manos un juego sobre el que se habían generado muchas expectativas: Flanker 2.0, el sucesor del Falcon 4.0 ... ¿o no?.",Simulación,/meristation/juegos/flanker_20/,//as01.epimg.net/t.gif
Mario Tennis,65,7,N64,Un divirtidísimo juego de tenis con nuestros entrañables amigos de Nintendo.,Deportes,/meristation/juegos/mario_tennis/,//as01.epimg.net/t.gif
Interstate '76 Nitro Riders,9,9,PC,"Los mas antiguos del lugar recordaran de su infancia o su adolescencia una serie de televisión llamada Starsky y Hutch, que relataba la historia de dos polis durante los años 70... Bien, Interstate?76 NR bebe de ese mundo con música molona, ritmos trepidantes y pelos a lo afro.","Acción
arcade",/meristation/juegos/interstate_76_nitro_riders/,//as01.epimg.net/t.gif
Plane Crazy,71,7,PC,"Coged el juego de carreras de coches más rápido que encontréis, cambiad el coche por un avión monomotor de acrobacias, multiplicad la velocidad por tres y cambiad las carreteras por cañones, desfiladeros, calles estrechas de una ciudad y cosas por el estilo. El resultado será algo similar a Plane Crazy.",Simulación,/meristation/juegos/plane_crazy/,//as01.epimg.net/t.gif
Warhammer: Dark Omen,69,5,PC,"Nuevamente, las fuerzas de los no-muertos se han conjurado contra el Imperio. ¿Serás capaz de salvarlo de esta nueva amenaza? Contarás con la inestimable ayuda de elfos, enanos y ogros en tu lucha contra la oscuridad. Pero, los piel-verde tampoco descansan y serán, por tanto, otro enemigo a batir. Aqui esta Warhammer : Dark Omen.",Estrategia,/meristation/juegos/warhammer_dark_omen/,//as01.epimg.net/t.gif
Jedi Knight : Misteries of the Sith,41,2,PC,"En esta expansión para Jedi Knight continuamos las aventuras de Kyle Katarn, ahora como un maestro Jedi, y a Mara, su joven aprendiz en los caminos de la fuerza.","Acción
arcade",/meristation/juegos/jedi_knight_misteries_of_the_sith/,//as01.epimg.net/t.gif
Spider-Man Contra los Seis Siniestros,44,0,PC,"En esta aventura, orientada al público más pequeños de la casa, encarnaremos al famoso trepamuros, heroe de Marvel Comics en una aventura en la que se tendra que enfrentar a seis villanos.",Aventura gráfica,/meristation/juegos/spiderman_contra_los_seis_siniestros/,//as01.epimg.net/t.gif
Wing Commander Prophecy,85,2,PC,"""Creamos mundos"", dice el eslogan de Origin. Para los profanos puede resultar exagerado, pero lo cierto es que, tanto en la serie Última como en esta que nos ocupa, lo consiguen sin duda. Vuelve Wing Commander y con él una saga de ciencia ficción que posteriormente consiguio un lugar entre las grandes de los medios audiovisuales.",Simulación,/meristation/juegos/wing_commander_prophecy/,//as01.epimg.net/t.gif
Might & Magic VI : The Mandate of Heaven,15,1,PC,"Might & Magic es una de las series de rol más populares y difundidas de la historia, tan sólo superada en solera por las sagas Wizardry y Ultima. Había llovido mucho, tal vez demasiado, desde que apareció su anterior entrega en el mercado, allá por 1993.",RPG,/meristation/juegos/might_and_magic_vi_and_the_mandate_of_heaven/,//as01.epimg.net/t.gif
Virtual Pool 2,66,5,PC,"Virtual Pool fue en su momento uno de los mejores simuladores de un genero tan poco tratado como es el billar. Virtual Pool 2 es su continuación, contando con grandes mejoras.",Deportes,/meristation/juegos/virtual_pool_2/,//as01.epimg.net/t.gif
Desperados,0,3,PC,"En Desperados nos encontramos en el final de la guerra de secesión americana, el oeste se encuentra sumido en un caos de ley y orden. Estos son los rasgos característicos de un juego que conserva puntos en común con Commandos de PyroStudios, pero con algunos pequeños cambios.",Estrategia,/meristation/juegos/desperados/,//as01.epimg.net/t.gif
Icewind Dale,75,2,PC,"Pese a tener juego en solitario, está enfocado principalmente para compartir la experiencia entre varios jugadores. Este título se centra en la zona gélida de Forgotten Realms.",RPG,/meristation/juegos/icewind_dale/,//as01.epimg.net/t.gif
Sim Safari,58,7,PC,"Todos a estas alturas conocemos la serie ""Sim"" de la compañia Maxis. En este tipo de juegos tendremos que desarrollar una ciudad, un edificio, un barrio o cualquier otro tipo de cosa afrontando sus problemas diarios. Esta vez le toca a los safaris.",Simulación,/meristation/juegos/sim_safari/,//as01.epimg.net/t.gif
Postal,29,5,PC,"Un juego que causo gran polémica tras su aparición, postal es uno de los arcades mas violentos, explicitos y bestiales que se han creado nunca. Riete de Carmageddon.","Acción
arcade",/meristation/juegos/postal/,//as01.epimg.net/t.gif
The Reap,50,9,PC,"The Reap es un juego que sigue la estela de los clasicos ""matamarcianos"" como Xenon 2, Raiden y tantos otros. Tu objetivo es arrasar a todos tus enemigos con las diferentes armas que encuentres en tu camino mientras esquivas autenticas lluvias de balas.","Acción
arcade",/meristation/juegos/the_reap/,//as01.epimg.net/t.gif
World League Basketball,57,10,PC,"El Baloncesto se encuentra a la sombra del fútbol en gran parte del mundo. Una excepción importante la constituye Estados Unidos. Debido a esto nos llegan juegos de baloncesto que, aunque no en número, si igualan en calidad a los títulos dedicados al deporte rey. World League Basketball es uno de ellos.",Deportes,/meristation/juegos/world_league_basketball/,//as01.epimg.net/t.gif
Jest,53,1,N64,"Jest es un juego diferente.Tú manejas a un aprendiz de Joker que tiene que abrirse camino entre los otros aprendices, magos poderosos y el Consejo de los Siete.",Plataformas,/meristation/juegos/jest/,//as01.epimg.net/t.gif
Bust-a-Move 4,51,3,DC,"Puzzle bouble es un juego divertido, su única ambición es hacernos pasar un buen rato y doy fe que lo consigue porque después de jugar un par de patidas sobretodo si es a dobles acabas totalmente enganchado al puzzle.",Puzle,/meristation/juegos/bustamove_4/,//as01.epimg.net/t.gif
Bangai-O,18,6,DC,BangaiO o la máxima expresión en materia de matamarcianos. No es uno más. No es un juego cualquiera. Es diferente y original. Es terroríficamente adictivo. Es de Treasure y te gustará...,"Acción
arcade",/meristation/juegos/bangaio/,//as01.epimg.net/t.gif
Louvre: La Maldición Final,44,2,PC,"El Museo de El Louvre, Mayo de 1999: Morgana, un agente del Servicio Secreto irrumpe en el museo con la misión de encontrar cuatro objetos antes de que los descendientes de una secta de caballeros se los lleven y provoquen el fin del mundo.",Aventura gráfica,/meristation/juegos/louvre_la_maldicion_final/,//as01.epimg.net/t.gif
M1 Tank Platoon II,61,2,PC,"Microprose nos trae la segunda parte de su famoso simulador de tanque Abrahams, en el que controlaremos una escuadrilla entera de carros blindados.",Simulación,/meristation/juegos/m1_tank_platoon_ii/,//as01.epimg.net/t.gif
Medal of Honor: Allied Assault,72,10,PC,"La saga Medal of Honor, ambientada en la Segunda Guerra Mundial llega por fin al PC con un juego con el engine de Quake 3 Arena.","Acción
first_person_shooter",/meristation/juegos/medal_of_honor_allied_assault/,//as01.epimg.net/t.gif
Los Sims: Más Vivos que Nunca,27,0,PC,"Los Sims: Más Vivos que Nunca, es una actualización de ""The Sims"", y para poder disfrutar de él es necesario poseer el antecesor.",Simulación,/meristation/juegos/los_sims_mas_vivos_que_nunca/,//as01.epimg.net/t.gif
Live! Boxing,56,4,PC,"Si eres un fanático del boxeo y no estas satisfecho con los títulos aparecidos en el mercado hasta la fecha? estas de suerte, porque Live! Boxing es diferente a todos ellos. Live! Boxing es un juego de boxeo en el que la originalidad, la espectacularidad y el realismo marchan de la mano.",Deportes,/meristation/juegos/live_boxing/,//as01.epimg.net/t.gif
The Longest Journey,74,0,PC,"TLJ es una aventura gráfica de corte tradicional, al estilo Lucas Arts, con una gran calidad y personalidad propia.",Aventura gráfica,/meristation/juegos/the_longest_journey/,//as01.epimg.net/t.gif
Longbow 2: AH64D,74,10,PC,"Simulador de vuelo de heilcóptero de combate, que nos pone a los mandos de un sofisticado Apache Long Bow",Simulación,/meristation/juegos/longbow_2_ah64d/,//as01.epimg.net/t.gif
The Journeyman Project 3 : El Legado del tiempo,37,9,PC,"Nunca antes se había llegado al punto de girar un cuarto de vuelta más la tuerca de una historia y que de este torcimiento se sacara algo más que un refrito ya antiguo. Este es el caso de El Legado del Tiempo, tercera entrega de la famosa serie The Journeyman Project.",Aventura gráfica,/meristation/juegos/the_journeyman_project_3_el_legado_del_tiempo/,//as01.epimg.net/img/meristation/placeholder-cover.png
Warbreeds,67,3,PC,"En un mercado saturado de juegos de estrategia podríamos pensar que Warbreeds es uno más de los múltiples clones que existen de juegos tipo Command & Conquer (lo que los ingleses llaman juegos Clone & Conquer), pero los señores de Red Orb Entertainment han intentado que no sea así añadiendo algunos toques originales a este nuevo título.",Estrategia,/meristation/juegos/warbreeds/,//as01.epimg.net/t.gif
Street Fighter Alpha,55,2,PC,"Street Fighter Alpha supuso la primera salida en mucho tiempo de un juego realmente nuevo en la saga Street Fighter. Con un nuevo ""look"" en sus personajes, de estilo mas Anime y recuperando personajes de antiguos juegos de Capcom (como Final Fight o Street Fighter 1) llega SFZ.","Acción
arcade",/meristation/juegos/street_fighter_alpha/,//as01.epimg.net/t.gif
Tie Break Tenis 98,96,6,PC,"Tie Break Tenis 98 fue el primer producto que salió al mercado bajo el sello de Hammer Technologies, y fue el primer intento de realizar un juego español de tenis con soporte de aceleradora.",Deportes,/meristation/juegos/tie_break_tenis_98/,//as01.epimg.net/t.gif
Street Fighter Alpha 2,79,9,PC,"Street Fighter Zero 2 fue el segundo titulo de una de las sagas mas famosas y de mas calidad de los juegos de lucha 2D de Capcom, introduciendo nuevos y carismáticos personajes como Sakura Kasugano o Dan Hibiki. Esta versión para PC es una conversión directa de su homonima para PSX.","Acción
arcade",/meristation/juegos/street_fighter_alpha_2/,//as01.epimg.net/t.gif
Hostile Waters,99,9,PC,"En el nuevo título de Rage, Hostile Waters, deberemos construir y manejar una serie de unidades para cumplir cada misión, a la vez que conseguimos los recursos necesarios para ello. En definitiva, un título de acción táctica en tiempo real con algunas innovaciones y un motor gráfico excepcional.",Estrategia,/meristation/juegos/hostile_waters/,//as01.epimg.net/t.gif
Redline Racer,62,10,PC,"Desde hace mucho tiempo el PC había visto pocos juegos de motos decentes, el primero de ellos que abrió una brecha fue el Moto Racer que se ha convertido en un clásico de los juegos de ordenador. Redline Racer, siguiendo la misma línea que el Moto Racer, pretende ser una alternativa y una renovación para los juegos de motos.",Conducción,/meristation/juegos/redline_racer/,//as01.epimg.net/t.gif
Ultim@te Race Pro,76,9,PC,"Kalisto nos pone a los mandos de prototipos de última generación para participar en un arcade automovilístico mezcla de rally y carreras de destrucción, una especie de cruce entre ""Destruction Derby"" y ""International Rally Challenge"".",Conducción,/meristation/juegos/ultimte_race_pro/,//as01.epimg.net/t.gif
Mission: Impossible,3,4,N64,"Tras un calvario seguido de otro en el proceso de desarrollo, Ethan y compañía llegan a N64 en un juego fiel a la película y cargado de aventura y acción.",Acción,/meristation/juegos/mission_impossible/,//as01.epimg.net/t.gif
Micromachines 64,66,5,N64,"Basado en Micromachines V3 para PSX y compatibles, llega a N64 una excelente conversión donde las carreras en miniatura toman las tres dimensiones.",Conducción,/meristation/juegos/micromachines_64/,//as01.epimg.net/t.gif
Mickey's Speedway USA,23,5,N64,"Mickey y sus amigos se embarcan en una aventura a través de los Estados Unidos para salvar a Pluto d elas manos de las comadrejas. Eso sí, sobre karts...",Conducción,/meristation/juegos/mickeys_speedway_usa/,//as01.epimg.net/t.gif
Mega Man 64,16,5,N64,Capcom transporta a Megaman a un mundo tridimensional donde en detrimento de la acción prediominan los elementos de aventura y RPG.,"Acción
Aventura",/meristation/juegos/mega_man_64/,//as01.epimg.net/t.gif
Mario Party 3,34,9,N64,"Tercera y última entrega de la saga Mario Party para Nintendo 64. Se han añadido más minijuegos, tableros temáticos y personajes para aumentar la diversión.",Acción,/meristation/juegos/mario_party_3/,//as01.epimg.net/t.gif
Mario Party 2,91,2,N64,"Nintendo no para de sorprendernos, y siguiendo con su linea de crear juegos innovadores, nos presenta la segunda parte del genial Mario Party, delicias de todos aquellos que se privan por el multiplayer.",Acción,/meristation/juegos/mario_party_2/,//as01.epimg.net/t.gif
Mario Party,6,3,N64,Colección de minijueos y tablero con los personajes de Nintendo como protagonistas.,Acción,/meristation/juegos/mario_party/,//as01.epimg.net/t.gif
Midtown Madness,17,0,PC,"Diviértete conduciendo y olvídate de los atascos con el único juego de simulación de coches reales circulando por una ciudad real. Elige tu coche entre 10 vehículos licenciados, como el nuevo Volkswagen Beetle con los auténticos modelos físicos de simulación. Recorre el escenario de la ciudad de Chicago con 100 Km.",Conducción,/meristation/juegos/midtown_madness/,//as01.epimg.net/t.gif
Emperor: Battle for Dune,99,9,PC,"Westwood nos trae su primer juego de estrategia en tiempo real en 3D, y para ello recurre al universo de Dune. Con tres casas principales y cinco menores, tendremos cientos de unidades, edificios y estrategias en nuestras manos.",Estrategia,/meristation/juegos/emperor_battle_for_dune/,//as01.epimg.net/t.gif
Microsoft Futbol 2000,1,2,PC,Simulación de fútbol estilo arcade que combina una gran jugabilidad con toda la excitación del fútbol real.,Deportes,/meristation/juegos/microsoft_futbol_2000/,//as01.epimg.net/t.gif
Microsoft Links LS 2000,85,9,PC,"La nueva entrega del mejor simulador de Golf de todos los tiempos llega con novedades sorprendentes: 5 nuevos campos de fama mundial, 4 nuevos golfistas de un total de 12. Nuevas voces y sonidos más realistas y 5 nuevos modos de juego. Con Links es posible ajustar incluso la colocación del cuerpo, el ángulo de la cara del palo y el plano de swing.",Deportes,/meristation/juegos/microsoft_links_ls_2000/,//as01.epimg.net/t.gif
Micromachines V3,13,9,PC,"¡Conduce tus MicroMachines favoritos con el mejor de los estilos! El juego de carreras más caliente ya está aquí... con más circuítos,vehículos y Power-ups. En Micromachines V3 podrás controlar más de 15 vehículos distintos a lo largo de 40 circuítos llenos de armas y power-ups como Minas, Misiles y muchos más.",Conducción,/meristation/juegos/micromachines_v3/,//as01.epimg.net/t.gif
Michael Owen's World League Soccer 99,34,3,PC,"World League Soccer 99 incorpora increíbles toques especiales, impresionantes gráficos en alta resolución, inmensos estadios y un control perfecto de los jugadores hacen a este juego tan emocionante. Más de 200 equipos. Más de 20 combinaciones de movimientos especiales. Comentarios de Televisión en Tiempo Real (en inglés).",Deportes,/meristation/juegos/michael_owens_world_league_soccer_99/,//as01.epimg.net/t.gif
Metal Fatigue,4,6,PC,"A comienzos del siglo XXI la humanidad ha logrado alcanzar finalmente las estrellas. La exploración galáctica trajo consigo un descubrimiento aterrador: las ruinas de civilizaciones destruidas por una raza alienígena hostil, los Hedoth. Sin embargo, la avaricia dio lugar al estallido de un sangriento conflicto en el interior de la Alianza...",Estrategia,/meristation/juegos/metal_fatigue/,//as01.epimg.net/t.gif
Mega Man X4,78,7,PC,Megaman X4 es una de las pocas entregas de este legendario juego disponibles para PC.,Plataformas,/meristation/juegos/mega_man_x4/,//as01.epimg.net/t.gif
Mech Commander,18,0,PC,"Juego de estrategia en tiempo real, basado en el universo de Battletech.",Estrategia,/meristation/juegos/mech_commander/,//as01.epimg.net/t.gif
M.A.X.: Mechanized Assault & Exploration,25,4,PC,"M.A.X.: Mechanized Assault & Exploration es el único wargame estratégico basado en turnos que combina vehiculos totalmente personalizables con gráficos SVGA, diversidad de campañas y acción multijugador.",Estrategia,/meristation/juegos/max_mechanized_assault_and_exploration/,//as01.epimg.net/t.gif
The WatchMaker,23,7,PC,"Trecision, compañía de origen italiano, con The WatchMaker se vienen a sumar a la moda de la aventura gráfica tridimensional. The WatchMaker se adentra de pleno en una historia de ocultismo y misterio.",Aventura gráfica,/meristation/juegos/the_watchmaker/,//as01.epimg.net/t.gif
M Alien Paranoia,100,2,PC,Si no hubiera tenido los cascos puestos mientras jugaba nuestro amigo habría escuchado cómo el ordenador de la nave le avisaba sobre la alarmante falta de combustible. Ahora su OVNI de segunda mano ha quedado averiado en un extraño planeta.,"Acción
arcade",/meristation/juegos/m_alien_paranoia/,//as01.epimg.net/t.gif
Magic: The Gathering,69,4,PC,"Magic está basado en el juego de cartas de ""Wizards of the Coast"" llamado Magic ""The Gathering"", que ha tenido mucho éxito en todo el mundo.",Simulación,/meristation/juegos/magic_the_gathering/,//as01.epimg.net/t.gif
Mad Race,68,9,PC,"En Mad Race, tendremos que atravesar enrevesados circuitos llenos de obstáculos, montados en unos bólidos enormemente veloces que lo único que harán será ponernos las cosas aún más difíciles.",Conducción,/meristation/juegos/mad_race/,//as01.epimg.net/t.gif
Madden NFL 2001,57,7,PC,"El mejor simulador de futbol americano del mercado vuelve con aún más posibilidades. Además de los modos normales, podremos participar del Desafio Madden(como un trivial mezclado con el simuladr), del modo entrenador, y de un nuevo sistema de control ara principiantes.",Deportes,/meristation/juegos/madden_nfl_2001/,//as01.epimg.net/t.gif
Nascar 2000,54,9,PC,"Demuestra que puedes dominar el trueno. EA Sports presenta NASCAR 2000, el juego de carreras automovilísticas para PC más auténtico y divertido de toda la serie NASCAR. En él podrás encontrar toda la acción de las carreras de coches, gracias a los más de 30 de los mejores pilotos y 7 de las leyendas de NASCAR que incluye el juego.",Conducción,/meristation/juegos/nascar_2000/,//as01.epimg.net/meristation/imagenes/2016/04/01/game_cover/1459508400.jpg
